Hash(vPC),Name
0x2D54B916,TELEPORT_ACTOR
0xE4DE507C,TELEPORT_ACTOR_WITH_HEADING
0x6B3A39A9,GET_MAX_SPEED
0x99BD9D6F,GET_POSITION
0x42DE39F0,GET_HEADING
0x294A5549,GET_ACTOR_AXIS
0xECE8520B,SET_ACTOR_HEADING
0xCDC686B2,SET_ACTOR_ONE_SHOT_DEATH
0x912622D,GET_ACTOR_ONE_SHOT_DEATH_STATUS
0x758F993A,GET_PHYSINST_FROM_ACTOR
0x1AA3A0C0,CAN_ACTOR_HOGTIE_TARGET
0xB27E91E7,IS_ACTOR_PLAYER
0x6542CF26,IS_ACTOR_LOCAL_PLAYER
0xB114332D,GET_DEBUG_PADINDEX
0x524F6981,GET_PLAYER_PADINDEX
0xCF02D1D6,GET_PLAYER_PADINDEX_NO_ACTOR
0x8F82B7D4,SET_PLAYER_PADINDEX
0xC733BC9A,SET_ENABLE_NAV_STICK_INPUT
0xD17AFCD8,SET_PLAYER_CONTROL
0xBEEDDD54,SET_PLAYER_ENABLE_MOUNT_USE_CONTEXTS
0xEA08A934,SET_PLAYER_ALLOW_PICKUP
0xAC1285A3,SET_PLAYER_MELEE_MODE_SELECTED
0x959C27A,SET_PLAYER_DISABLE_TARGETING
0x9613C2D0,IS_PLAYER_CONTROLLABLE
0x6576AD43,IS_PLAYER_IN_COMBAT
0x48B7C279,IS_PLAYER_IN_COMBAT_WITHIN
0xCE7CE46D,SET_RETICLE_DRAW_DISABLED_BY_SCRIPT
0x4590CE00,SET_PLAYER_CONTROL_RUMBLE
0xB3BE2F95,RESET_RUMBLE
0x8421033D,GET_PLAYER_CONTROL_CONFIG
0x1B84BCA,SET_PLAYER_CONTROL_CONFIG
0x2E0EC2F2,PLAYER_RUMBLE
0x4B0D6152,SET_PLAYER_CURRENT_NOTORIETY
0x4D918005,SET_PLAYER_CURRENT_HONOR
0x57595189,SET_PLAYER_COMBATMODE
0x86E193B8,GET_PLAYER_COMBATMODE
0xAFFBBE78,SET_PLAYER_COMBATMODE_OVERRIDE
0x1184EC7B,SET_PLAYER_COMBATMODE_EXCLUSION
0xE1160B04,SET_PLAYER_VEHICLE_INPUT
0x900165CE,ADD_PLAYER_CONTROL_HORSE_FOLLOW
0xBFC8EF7C,REM_PLAYER_CONTROL_HORSE_FOLLOW
0x7C522386,CLEAR_PLAYER_CONTROL_HORSE_FOLLOW
0xE44DCE87,IS_PLAYER_IN_HORSE_FOLLOW
0xE8CFDD53,GET_PLAYER_ACTOR
0x40EF1003,IS_LOCAL_PLAYER
0xADC17E9,IS_LOCAL_PLAYER_VALID
0xD04480FE,IS_SLOT_VALID
0xDB9B49D8,GET_SLOT_ACTOR
0xAABF3356,GET_ACTOR_SLOT
0xAD68A22E,GET_LOCAL_SLOT
0x34CBABAE,GET_SLOT_NAME
0x3241158C,GET_SLOT_POSITION
0x34A9866B,GET_SLOT_FACING
0x87DDCA96,IS_PLAYER_TARGETTING_ACTOR
0x622796D5,IS_PLAYER_TARGETTING_OBJECT
0x6148423A,IS_PLAYER_DEADEYE
0xB6A47C37,SET_PLAYER_DEADEYE_MODE
0x1CFAF2EA,SET_FORCE_PLAYER_AIM_MODE
0xD0E08B5E,SET_PLAYER_ENDLESS_READYMODE
0xBC521A38,GET_PLAYER_ZOOM_STATE
0x724A2931,IS_PLAYER_USING_COVER
0x45F2A70A,ATTACH_PLAYER_TO_COVER
0xD77CC34,SIMULATE_PLAYER_INPUT_GAIT
0xEAE75C6F,ACTOR_POP_NEXT_GAIT
0x1ABFBFA3,ACTOR_SET_MAX_GAIT
0xD39C4A9E,IS_ACTOR_USING_COVER
0xEBBE1CAC,IS_ACTOR_USING_LEDGE
0x50D8C840,SET_PLAYER_DEADEYE_POINTS
0xE2C4AEE7,ADD_PLAYER_DEADEYE_POINTS
0x86B5C9E1,GET_PLAYER_DEADEYE_POINTS
0x9716951,SET_DISABLE_DEADEYE
0x486955B,SET_DEADEYE_POINT_MODIFIER
0x526D45B7,SET_MAX_DEADEYE_POINTS
0x4E6E5E78,SET_DEADEYE_MULTILOCK_ENABLE
0x5CD6E2C3,SET_DEADEYE_TARGETPAINT_ENABLE
0xA671FF8E,SET_DEADEYE_INVULNERABILITY
0xD583DAF,SET_DEADEYE_DAMAGE_SCALING
0x863F0193,SET_DEADEYE_TIME_LIMIT
0x415EE4C,SET_DEADEYE_REGENERATION_RATE
0x151741A2,SET_DEADEYE_REGENERATION_RATE_MULTIPLIER
0x5740CDC2,SET_DEADEYE_TIMESCALE
0xC0BC04E,SET_INFINITE_DEADEYE
0xFA8D2B69,SET_WAGON_TO_WAGON_JACK_ENABLE
0x3BD4426B,SET_PLAYER_POSTURE
0xC550644A,SET_ACTOR_ALLOW_DISMOUNT
0xE38EF526,SET_ACTOR_INVULNERABILITY
0xDB39D992,GET_ACTOR_INVULNERABILITY
0x2A575132,SET_TOUGH_ACTOR
0xD9A35F6,SET_ACTOR_UNKILLABLE
0xB4CD475D,SET_ACTOR_PERMANENT
0x731F2C21,SET_ACTOR_PERMANENT_DEAD
0xED89D0E0,SET_ACTOR_FROZEN_AFTER_CORPSIFY
0xF5B74E20,CLEAR_ACTOR_PROOF
0x9E7AE28B,CLEAR_ACTOR_PROOF_ALL
0x147EA072,GET_ACTOR_PROOF
0xA5875DC8,SET_ACTOR_PROOF
0xF2F77F44,SET_ACTOR_OVERHEALTH_MODE
0x437588E6,ACTOR_REPAIR_INCAPACITATION
0xEE4E2461,GET_ACTOR_INCAPACITATED
0x2D9C0C0F,SET_ALLOW_RIDE_BY_AI
0x318FF2A,GET_ALLOW_RIDE_BY_PLAYER
0xCF1A1BC5,SET_ALLOW_RIDE_BY_PLAYER
0xF83A8D2B,SET_ALLOW_RIDE
0x111E8E0,GET_ALLOW_RIDE
0x5D5BD1F0,SET_ALLOW_JACK
0x5896817B,SET_ALLOW_EXECUTE
0xA1BFC1A5,SET_ALLOW_DEADEYE_LOCKS
0x9375946B,SET_DEADEYE_LOCKS_ON_HEAD_ONLY
0x740B78A8,SET_ALLOW_MELEE_SPECIAL_MOVE
0x7A11D611,SET_ALLOW_LASSO_MINI_GAME
0x666B436,ACTOR_DISMOUNT_NOW
0xBFD6AE3D,IS_ACTOR_REACTING
0x6D322CD3,GET_ACTOR_UPDATE_PRIORITY
0x44C05EF6,SET_ACTOR_UPDATE_PRIORITY
0x5C7F63E3,ACTOR_FORCE_NEXT_UPDATE
0x87C49DBD,IS_ANY_ACTOR_IN_SPHERE
0xB42EBC65,SET_NPC_TO_NPC_CRIPPLE_DISABLE
0x135EA21D,SET_NPC_TO_NPC_DAMAGE_SCALE_FACTOR
0xA393AC4E,SET_PLAYER_TO_PLAYER_DAMAGE_SCALE_FACTOR
0x5CFE1E9,SET_NPC_TO_ACTOR_DAMAGE_SCALE_FACTOR
0x83903D1,SET_ACTOR_LOW_DROP_DAMAGE
0x1540A309,SET_ACTOR_MEDIUM_DROP_DAMAGE
0x7CC57FDA,SET_ACTOR_HIGH_DROP_DAMAGE
0x9F6B04C8,SET_ACTOR_DEATH_DROP_DISTANCE
0xDA0CDC91,SET_DAMAGE_SCALE_ENABLE
0x3AD31762,SET_CRIPPLE_ENABLE
0xA9A99DF,SET_CRIPPLE_FLAG
0x38C5F63F,IS_ACTOR_CRIPPLED
0xA5A24484,IS_ACTOR_HANDSUP
0xA4677DD2,SET_ALLOW_COLD_WEATHER_BREATH
0x1F0CD262,SET_DLC_FALLBACK_AVATAR
0x1D1D9387,SET_EMOTION
0xC0F77310,SET_ACTOR_STOP_UPDATE
0x4EFC58BC,GET_ACTOR_STOP_UPDATE
0x22558E3F,IS_ACTOR_IN_ROOM
0x398735FA,REGISTER_TRAFFIC_OBJECTSET
0x67FA18A1,REGISTER_TRAFFIC_ACTOR
0x1444F022,REGISTER_GPS_CURVE_OBJECTSET
0x4B90D22A,SET_PLAYER_TARGET_WEIGHT
0xF1779E65,RESET_PLAYER_TARGET_WEIGHT
0xA819497B,SET_HARDLOCK_TARGET_ANGLE_WEIGHTING
0x8BE2D8B0,SET_ZOMBIE_TARGET_MODE
0x91BB8548,SET_ACTOR_SKIP_VISIBILITY_CHECK
0x8AE58EE1,GET_ACTOR_SKIP_VISIBILITY_CHECK
0xDE0E96F3,FEED_CODE_WARP_DIST
0x911BA31,SET_ACTOR_STREAMING_HIGH_PRIORITY
0x9DFC82,CREATE_ACTORSET_IN_LAYOUT
0x76E8975E,IS_ACTORSET_VALID
0x5454B159,FIND_NAMED_ACTORSET
0x147A0BEE,DESTROY_ACTORSET
0x2739F04D,DISBAND_ACTORSET
0xE09DB6C1,ADD_ACTORSET_MEMBER
0xD637E449,REMOVE_ACTORSET_MEMBER
0xC6FE68DF,IS_ACTOR_IN_ACTORSET
0xC5202810,GET_ACTOR_FROM_ACTORSET
